,min,max,mean,std,median,majority,minority,variace
Jan,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Fev,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Mar,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Abr,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Mai,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Jun,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Jul,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Ago,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Set,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Out,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Nov,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
Dez,0.0,58520.62890625,0.2965658609043138,17.46447261154885,0.10000000149011612,0.0,53.15999984741211,305.00780359953984
