,,min,max,mean,std,median,majority,minority,variace
Jan,AC,0.0,104.87000274658203,0.13853846684687635,1.1293362747041769,0.09000000357627869,0.0,2.0799999237060547,1.2754004213627081
Jan,MA,0.0,108.98999786376953,0.18521851674206488,1.5308413735875241,0.07999999821186066,0.0,6.340000152587891,2.3434753110873374
Jan,MG,0.0,13810.490234375,0.4202108225442143,16.639021101204843,0.15000000596046448,0.12999999523162842,18.799999237060547,276.85702320634
Jan,MS,0.0,181.0500030517578,0.15968825390818572,1.5600210464977593,0.07000000029802322,0.0,4.559999942779541,2.433665665515964
Jan,MT,0.0,637.469970703125,0.14076813832526403,1.1604132673758556,0.09000000357627869,0.0,7.309999942779541,1.3465589511019087
Jan,PA,0.0,982.77001953125,0.09318833357196421,1.183386357686974,0.03999999910593033,0.0,5.400000095367432,1.400403271559643
Jan,PB,0.0,159.05999755859375,0.7637312017739519,3.382963969900826,0.2199999988079071,0.14000000059604645,5.650000095367432,11.444445221647157
Jan,PE,0.0,165.99000549316406,0.7635257884570436,4.032127159671499,0.17000000178813934,0.11999999731779099,8.0,16.25804943176055
Jan,PI,0.0,83.97000122070312,0.20131455371902968,1.2510070072536204,0.10999999940395355,0.10999999940395355,4.440000057220459,1.56501853219766
Jan,PR,0.0,214.41000366210938,0.7725079899973857,3.8445812057019255,0.23999999463558197,0.20000000298023224,13.850000381469727,14.780804647236472
Jan,RJ,0.019999999552965164,1595.9300537109375,3.1294719131079995,12.478195824909397,0.3199999928474426,0.20000000298023224,10.300000190734863,155.7053710447863
Jan,AL,0.0,125.08000183105469,1.2317026269533824,5.085232200395675,0.3199999928474426,0.2199999988079071,5.679999828338623,25.859586531941037
Jan,RN,0.0,105.2300033569336,0.5852417213799286,2.9687919834874967,0.1599999964237213,0.11999999731779099,4.849999904632568,8.813725841219625
Jan,RO,0.0,110.68000030517578,0.1525785146122081,1.208469386119556,0.09000000357627869,0.0,2.5899999141693115,1.4603982571881764
Jan,RR,0.0,123.47000122070312,0.08342883783817912,1.024273316624489,0.03999999910593033,0.0,2.700000047683716,1.0491358271489308
Jan,RS,0.0,209.0500030517578,0.4971995799483211,2.8743168862190855,0.15000000596046448,0.0,12.619999885559082,8.26169756240418
Jan,SC,0.0,210.0399932861328,1.0405344670087453,4.290417960973978,0.25,0.0,11.5600004196167,18.40768627984811
Jan,SE,0.0,226.89999389648438,1.6649523688460366,6.428264245337145,0.4300000071525574,0.23999999463558197,5.429999828338623,41.32258120787993
Jan,SP,0.0,3385.10009765625,1.7523482646742214,10.038803542329457,0.2800000011920929,0.20999999344348907,28.459999084472656,100.77757656148646
Jan,TO,0.0,531.9600219726562,0.13875665369003,1.014491948312602,0.10000000149011612,0.10000000149011612,3.630000114440918,1.029193913191099
Jan,AM,0.0,551.8200073242188,0.08218497790949233,0.6336732586186572,0.05000000074505806,0.0,3.6600000858306885,0.40154179868838763
Jan,AP,0.0,115.25,0.07737411514014057,0.8136389747482352,0.03999999910593033,0.0,1.9299999475479126,0.6620083812293593
Jan,BA,0.0,2288.5400390625,0.3425532899873071,2.814797002660666,0.14000000059604645,0.12999999523162842,12.25,7.923082166187468
Jan,CE,0.0,121.81999969482422,0.4969619277436721,2.5584263230278426,0.17000000178813934,0.12999999523162842,8.699999809265137,6.545545250361767
Jan,DF,0.07999999821186066,495.9700012207031,7.926223100938582,20.462744282956724,0.699999988079071,0.2199999988079071,0.09000000357627869,418.72390358967806
