,,min,max,mean,std,median,majority,minority,variace
Jan,AC,0.0,82.08000183105469,0.13433560897587318,0.8885754260176476,0.0,0.0,2.4800000190734863,0.7895662877224439
Jan,MA,0.0,123.02999877929688,0.23675581674064447,1.3535072830259165,0.12999999523162842,0.0,6.070000171661377,1.8319819652041982
Jan,MG,0.0,441.2300109863281,0.329806256171519,2.0046221590329134,0.10999999940395355,0.0,14.869999885559082,4.018510000485779
Jan,MS,0.0,934.1500244140625,0.2044510865024906,1.614305619132903,0.12999999523162842,0.11999999731779099,3.4200000762939453,2.6059826319640655
Jan,MT,0.0,131.72000122070312,0.13695987965012052,0.9359376445500925,0.09000000357627869,0.0,6.400000095367432,0.8759792744859753
Jan,PA,0.0,88.26000213623047,0.12124769504361788,0.6970979724638341,0.09000000357627869,0.0,6.309999942779541,0.4859455832131884
Jan,PB,0.0,101.87000274658203,0.7489541961637078,3.002373619816456,0.30000001192092896,0.23999999463558197,5.130000114440918,9.014247352969768
Jan,PE,0.0,434.1400146484375,0.8136923809823595,4.297370023841359,0.23999999463558197,0.0,7.739999771118164,18.46738912181028
Jan,PI,0.0,108.37000274658203,0.2238158418435,1.2453563874205578,0.14000000059604645,0.0,4.920000076293945,1.5509125316891825
Jan,PR,0.0,166.3000030517578,0.6884988726538722,3.609138488216855,0.1599999964237213,0.12999999523162842,13.109999656677246,13.025880627128245
Jan,RJ,0.0,758.4099731445312,2.8257708464781004,10.071897393391891,0.3100000023841858,0.0,11.710000038146973,101.44311710301439
Jan,AL,0.0,1914.800048828125,1.3615791898556022,9.430484892512785,0.38999998569488525,0.2800000011920929,6.829999923706055,88.93404530791187
Jan,RN,0.0,105.08999633789062,0.5686071667284606,2.53934894805099,0.20999999344348907,0.18000000715255737,4.269999980926514,6.448293079967669
Jan,RO,0.0,95.54000091552734,0.08425168283268046,0.7570414241395211,0.0,0.0,2.640000104904175,0.5731117178631944
Jan,RR,0.0,92.7300033569336,0.07554379826870339,0.9224827936579872,0.03999999910593033,0.0,2.140000104904175,0.8509745045950448
Jan,RS,0.0,115.33999633789062,0.4850777264447787,2.761578203313349,0.10999999940395355,0.07999999821186066,12.529999732971191,7.626314173015384
Jan,SC,0.0,169.05999755859375,0.934887909362803,3.752925412151108,0.20000000298023224,0.15000000596046448,12.369999885559082,14.084449149169565
Jan,SE,0.0,1714.6199951171875,1.654381639380219,9.570125090855,0.44999998807907104,0.28999999165534973,6.21999979019165,91.58729425461244
Jan,SP,0.0,793.7100219726562,1.6003150635316936,6.707847169949063,0.20000000298023224,0.14000000059604645,28.030000686645508,44.99521365539365
Jan,TO,0.0,70.94000244140625,0.2271216836124999,0.7544068819728504,0.1899999976158142,0.0,3.049999952316284,0.5691297435679983
Jan,AM,0.0,58520.62890625,0.11429385102141623,39.54803592375847,0.029999999329447746,0.0,3.630000114440918,1564.0471454268902
Jan,AP,0.0,65.38999938964844,0.09728778260069869,0.9374392745382489,0.05000000074505806,0.0,2.4800000190734863,0.8787923934467985
Jan,BA,0.0,471.739990234375,0.32855294544354363,2.18299921471991,0.14000000059604645,0.0,13.65999984741211,4.765485571467743
Jan,CE,0.0,168.0399932861328,0.4608346914629061,2.4862510293095292,0.17000000178813934,0.0,6.980000019073486,6.181444180742694
Jan,DF,0.0,142.47000122070312,5.178596095455207,13.49495768737785,0.550000011920929,0.0,3.740000009536743,182.11388298411853
Jan,ES,0.0,699.1900024414062,0.9732903646406099,5.214390688722972,0.25999999046325684,0.2199999988079071,6.210000038146973,27.18987025464083
Jan,GO,0.0,119.69999694824219,0.3232986721826806,2.084262366935593,0.14000000059604645,0.0,8.479999542236328,4.34414961422396
